Name,Korean Name,Exist,Rank
Muffy,프릴,0,93
Murphy,머피,1,92
Nan,순이,1,320
Nana,키키,1,250
Naomi,화자,0,385
Nate,박하스,1,206
Nibbles,그리미,1,230
Norma,미자,0,374
O'Hare,산토스,0,158
Octavian,문복,1,328
Olaf,안토니오,0,295
Olive,올리브,1,185
Olivia,올리비아,1,64
Opal,오팔,1,264
Ozzie,동동이,1,347
Pancetti,브리트니,0,257
Pango,패트라,1,394
Paolo,파올로,1,211
Papi,마사마,0,203
Pashmina,바바라,0,168
Pate,나키,1,134
Patty,밀크,1,354
Paula,레이첼,1,279
Peaches,말자,1,347
Peanut,핑키,1,121
Pecan,레베카,1,159
Peck,문대,0,163
Peewee,덤벨,1,311
Peggy,체리,1,253
Pekoe,재스민,1,55
Penelope,찍순이,0,236
Phil,케인,0,349
Phoebe,휘니,0,139
Pierce,세바스찬,1,216
Pietro,피엘,0,177
Pinky,링링,1,289
Piper,파이프,1,165
Pippy,로타,1,316
Plucky,파타야,0,174
Pompom,주디,1,112
Poncho,봉추,1,67
Poppy,다람,1,51
Portia,블랜더,1,267
Prince,카일,1,243
Puck,하키,1,281
Puddles,가위,1,321
Pudge,우띠,1,198
Punchy,빙티,1,32
Purrl,타마,1,127
Queenie,택주,1,245
Quillson,덕근,0,291
Raddle,개군,0,236
Rasher,글레이,1,340
Raymond,잭슨,0,4
Renée,뿔님이,0,310
Reneigh,리아나,0,90
Rex,렉스,1,358
Rhonda,론다,1,399
Ribbot,철컥,1,189
Ricky,갈가리,1,259
Rizzo,조르쥐,1,324
Roald,펭수,1,88
Robin,파틱,1,330
Rocco,곤잘레스,1,389
Rocket,4호,0,199
Rod,쟝,1,87
Rodeo,로데오,1,338
Rodney,지미,0,278
Rolf,호랭이,1,150
Rooney,마이크,0,388
Rory,아더,0,364
Roscoe,슈베르트,1,123
Rosie,부케,1,33
Rowan,고메스,1,289
Ruby,루나,1,53
Rudy,찰스,0,38
Sally,라라미,1,231
Samson,피스,1,323
Sandy,샌디,1,327
Savannah,사반나,1,286
Scoot,지키미,1,58
Shari,젤리,0,72
Sheldon,크리스,0,207
Shep,밥,0,167
Sherb,래미,0,97
Simon,시몬,1,393
Skye,릴리,1,46
Sly,하이드,1,262
Snake,닌토,1,82
Snooty,스누티,1,381
Soleil,샨티,0,161
Sparro,춘섭,0,287
Spike,스쿼트,1,336
Spork,포크,1,402
Sprinkle,크리미,0,135
Sprocket,헤르츠,1,315
Static,스파크,1,107
Stella,아크릴,1,175
Sterling,은수리,1,204
Stinky,땀띠,1,305
Stitches,패치,1,11
Stu,모리스,1,398
Sydney,시드니,1,331
Sylvana,실바나,1,124
Sylvia,실비아,1,362
T-Bone,티본,1,377
Tabby,호냥이,1,358
Tad,텀보,1,252
Tammi,에이프릴,1,400
Tammy,아네사,0,61
Tangy,백프로,1,155
Tank,탱크,1,349
Tasha,나타샤,1,157
Teddy,병태,1,63
Tex,볼트,0,260
Tia,티나,0,98
Tiffany,바슬레,1,246
Timbra,잔디,0,305
Tipper,마틸다,1,379
Tom,밴덤,1,138
Truffles,탱고,1,287
Tucker,맘모,0,324
Tutu,연유,1,144
Twiggy,핀틱,1,160
Tybalt,티볼트,1,205
Ursala,네이아,1,125
Velma,벨마,1,405
Vesta,메리어스,1,213
Vic,노르망,0,405
Victoria,센트엘로,1,361
Violet,줌마,1,270
Vivian,바네사,1,111
Vladimir,곰비,1,186
Wade,호떡,1,106
Walker,벤,1,80
Walt,관록,0,266
Wart Jr.,샘,1,382
Weber,아잠만,1,96
Wendy,눈송이,1,172
Whitney,비앙카,1,13
Willow,마리,1,77
Winnie,카로틴,1,392
Wolfgang,로보,1,42
Yuka,유카리,1,298
Zell,넬슨,0,130
Zucker,탁호,0,66
Sasha,미첼,0,1
