Korean Name,Mention Count,Viral
설백,5,126.12939940334734
대길,14,208.72522482997587
라이오넬,46,160.93291630145694
하키,6,127.98440790288275
마틸다,10,237.13191697711883
베티,14,211.67614342012885
만복이,12,205.60227167322566
리처드,128,919.8180133407021
뚝심,5,97.1657460308731
플라라,59,382.26740913678447
캐비어,18,206.36829516400724
고메스,5,67.83910930636921
마르,20,183.10607091845696
바네사,16,256.6156219799895
레이니,44,323.6049015085623
라라미,16,181.79339185532515
카를로스,10,188.7420066537365
켄,14,267.1306519299295
메이첼,74,530.7449893997874
메리어스,16,148.66384542888693
이자벨,8,220.43823894007096
펑크스,9,159.91512538509204
크리스,175,310.15842720726727
호떡,35,183.42553876165402
아델레이드,23,208.30014819035043
땡칠이,10,191.10193972684357
햄쥐,23,185.7026769796097
알베르트,19,123.8896488576325
보리,3,97.78387662496141
헨리,13,143.45422126988603
반데스,12,99.67629808906574
원승,8,99.67629808906574
차둘,71,491.3114674389616
캔디,26,393.8662444408285
스나일,21,385.46793622266506
구리구리,28,303.05551334544555
시베리아,145,920.4208251256058
파타야,24,304.87047555631295
문복,9,159.7140071414085
은수리,17,248.43210711526467
예링,46,273.1595977825421
아롱이,12,178.7358501893111
렉스,16,206.4167647547245
크리미,36,304.6742049828757
클레오,25,251.9627938988416
머슬,15,268.986993798672
프랑소와,59,562.5052730803667
빙티,67,528.1976665326662
호랭이,9,96.55396370774928
밀크,20,208.5880736986372
스트로베리,61,442.9055697455056
샐리,22,236.29888528905298
용남이,59,369.81989295609907
김희,6,98.35830195927431
휴지,34,377.9470740023647
봉추,29,206.4547563581207
지키미,41,444.24710351848137
지미,17,213.58377598674082
린다,6,66.83680569983503
레이첼,9,127.0471467227626
뿔님이,30,417.25460314840916
벨마,10,153.87452642350638
안토니오,11,156.5518049659418
안쵸비,22,237.32048556641345
펑키맘,10,94.65484689323908
엑스엘리,14,192.3448972175229
에끌레르,11,182.81399871344496
로데오,13,148.7478678981542
챔프,10,186.79935360422687
일섭,7,156.51942620460053
스트로,15,216.54711646988181
4호,33,335.4778361534483
아더,4,125.17001230016184
염두리,9,130.23272881962134
글라햄,46,351.5483629585804
글레이,9,155.6738330983698
돈후앙,17,283.7719760607667
거무틱,2,66.83680569983503
하이드,14,155.51616747643538
히죽,23,242.9145522990582
꺼벙,5,64.89686571775721
샤브렌,7,92.56067665640876
범호,4,33.39464359093077
티처,11,146.36713532299896
미란다,8,56.52934891582815
링링,36,95.29825956065413
시드니,12,85.5834027331188
바슬레,11,90.01377019481475
네이아,15,180.1167982230278
3호,20,179.89286805123953
마리모,25,294.7364563406792
바바라,29,143.25225023722822
나디아,71,329.2890753635482
핑글이,31,91.01498940433844
건태,28,148.2033914132747
늑태,12,88.27761188280891
안젤라,9,63.10510624843916
그리미,11,115.0793486978773
실비아,37,145.8212466803448
티나,19,171.0144910525196
키키,11,139.9262412985482
타키,13,321.31093592939726
덕근,6,33.39464359093077
곤잘레스,7,94.6073283752656
찰스,29,232.53805791015515
빙수,11,64.41174845070142
실루엣,14,59.308084634808296
제시카,31,346.7447452390562
미랑,18,121.69740824342409
루나,29,298.55225707181444
가위,23,172.09744863501655
티파니,10,93.60498461385835
덤벨,5,54.915416523761365
탱고,14,179.29026597542824
마리아,8,93.58205367279443
프릴,15,250.95881817659654
쪼끼,6,108.52504525295831
아그네스,24,229.24319036688945
마리,40,205.66651702490105
캐롤라인,10,63.09252746623217
문리나,62,589.7209497358299
마사마,17,155.94759871254175
레베카,10,56.933318137329834
시몬,9,156.35354075369412
쟝,35,293.02409788052154
유니오,28,152.06072992693905
박하스,11,175.9286636782499
바야시코프,23,114.42065969164953
다랑어,17,169.55968478750702
올리비아,197,282.0122228344373
오즈먼드,31,255.13069449238975
델리,7,119.04083948503158
마르카,6,89.48911657025042
팬타,13,147.17498760138008
앤,8,114.74046017416724
땀띠,7,65.28834458389065
토시,47,244.27122088462679
앨리,7,91.08051462206043
티볼트,7,65.28834458389065
백프로,19,85.45761261511585
카라멜,27,310.51001017805623
드리미,18,207.64832867652586
사반나,8,84.425521035999
데이빗,31,228.8888398366516
실부플레,3,33.39464359093077
케인,7,90.84576621478543
개군,8,122.86800829336778
파틱,2,33.39464359093077
핑키,22,231.46156061267413
춘섭,4,65.28834458389065
철소,23,235.19239930535812
넬슨,19,205.38630239077037
로보,35,287.2371934154331
폴라,2,33.39464359093077
에드워드,7,33.39464359093077
햄까스,24,127.98641463199858
미자,11,110.60820166990246
대공,2,33.39464359093077
맘모,8,125.9541675094687
가북희,59,127.32584165433323
신옥,13,92.41916419073605
초코,25,121.51195679362128
애플리케,4,87.37001956857024
풍작,5,119.19135023769897
아이소토프,6,59.186813629100556
론다,15,139.30111203985192
백희,11,144.80911398179052
안소니,9,122.02156216098173
록키,18,166.81241730961835
사브리나,8,65.28834458389065
자끄,17,188.5689092556953
택주,9,91.19042231829783
올리버,10,147.30420328650249
포크,15,126.93141995477158
트로와,4,61.71128362089847
유카리,6,91.20925112084969
먹고파,15,146.13745315321705
리카르도,11,91.48911945107042
화자,37,248.49941860914885
박사,12,191.9634799495256
아네사,29,148.9226505012469
아이다호,16,151.94782696294564
순이,14,181.6691732667939
샘,5,85.32373102112196
챠미,10,146.5560438585595
동동이,18,186.19292215835534
곰도로스,22,154.9926963619606
텀보,7,33.39464359093077
안데스,3,33.39464359093077
로타,3,65.28834458389065
티본,7,124.93385607112435
아크릴,9,116.26468801466841
크로크,31,268.0326578305113
비티,3,33.39464359093077
곱슬이,10,181.67079959753542
차코,9,143.88357702835492
스누티,6,96.16984936792095
관록,2,62.074736549867296
센트엘로,6,93.58205367279443
에스메랄다,13,145.29860063006674
타마,11,99.00869797289062
파올로,6,88.0849417838528
왕서방,10,153.47812401664737
블랜더,2,33.39464359093077
산드라,12,153.46982452844014
달만이,15,182.12433897817067
웬디,17,139.53861606574796
우락,8,207.38652708466148
올리브,12,197.88224600339345
보이드,5,61.89695807270274
잔디,6,126.55944567123669
덕,3,65.28834458389065
마철이,7,118.49042915378686
패트라,34,139.9271422063377
프랭크,12,91.59054269242377
노르망,6,115.32387375377475
복자,6,86.81101910960248
투투,3,62.074736549867296
호냥이,5,64.89686571775721
쇼콜라,5,65.28834458389065
마미,6,93.60498461385835
비니거,1,33.39464359093077
마롱,2,65.0420477276017
카로틴,3,89.01854729231668
캐시미어,8,93.39918019952918
햄둥,5,91.6849336879089
무뚝,6,33.39464359093077
루시,5,89.5016953524574
히킨,2,63.10510624843916
마릴린,5,62.721280315434655
파슬리,8,148.1650241970991
찍순이,7,144.24531061288084
릭,13,231.8369825532933
헐크,2,33.39464359093077
홉킨스,13,149.74899770590054
라자냐,3,33.39464359093077
앨런,10,119.32879491288121
제인,4,65.28834458389065
갈가리,2,33.39464359093077
볼트,4,97.65954066429555
철컥,12,120.52842235227206
몽티,5,122.27819100510044
팽기,2,63.39122459900475
멧지,1,33.39464359093077
나타샤,21,161.29231668226677
쿠스케처,9,54.22696795405054
샌디,3,85.67093624708745
카일,3,80.45629884218918
아리아,2,50.730703183896516
